time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
160;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;9.0;9.0;1.00;1.00;3.0;5.0;11;4.0;6.0;3.0;1.00;1.00
161;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;8.0;10;1.00;1.00;1.00;6.0;9.0;4.0;5.0;1.00;3.0;1.00
162;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;9.9;0.90;0.90;0.90;4.9;8.9;3.9;5.9;0.90;2.9;0.90
163;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.9;9.9;1.9;3.9;0.90;5.9;9.9;3.9;5.9;1.9;1.9;2.9
164;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;1.00;2.0;1.00;6.0;10;4.0;6.0;2.0;2.0;1.00
165;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;1.00;1.00;11;6.0;8.0;4.0;5.0;2.0;3.0;0.0
166;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;6.9;8.9;0.90;0.90;7.9;4.9;9.9;3.9;5.9;0.90;1.9;0.90
167;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;9.9;0.90;1.9;0.90;5.9;7.9;4.9;4.9;1.9;2.9;0.90
168;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;11;4.0;5.0;3.0;7.0;9.0;4.0;7.0;3.0;1.00;3.0
169;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.0;10;1.00;2.0;3.0;7.0;8.0;4.0;7.0;1.00;0.0;3.0
170;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;1.00;2.0;7.0;9.0;11;5.0;6.0;2.0;1.00;3.0
171;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;8.9;9.9;3.9;1.9;2.9;5.9;9.9;3.9;5.9;2.9;0.90;1.9
172;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;13;9.9;1.9;0.90;0.90;0.90;2.9;3.9;5.9;1.9;1.9;4.9
173;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;10;10;2.0;5.0;2.0;3.0;10;4.0;6.0;3.0;1.00;9.0
174;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;7.9;9.9;1.9;0.90;1.9;1.9;9.9;4.9;4.9;0.90;0.90;5.9
175;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;9.9;1.9;1.9;6.9;1.9;9.9;3.9;6.9;0.90;1.9;6.9
176;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;3.0;1.00;4.0;1.00;9.0;4.0;5.0;2.0;0.0;6.0
