time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
318;0;0.0;0.0;13;1071840;2059404;91;19;19;39;56;52;46
319;0;0.0;0.0;13;1071840;2059404;91;15;19;27;27;32;33
320;0;0.0;0.0;13;1071840;2059404;91;18;19;41;46;51;47
321;0;0.0;0.0;13;1071840;2059404;92;19;19;36;36;41;41
322;0;0.0;0.0;13;1071840;2059404;91;26;19;59;63;65;62
323;0;0.0;0.0;13;1071840;2059404;91;24;19;53;63;52;68
324;0;0.0;0.0;13;1071840;2059404;91;25;19;54;71;63;64
325;0;0.0;0.0;13;1071840;2059404;91;24;19;52;64;51;59
326;0;0.0;0.0;13;1071840;2059404;92;25;19;55;59;59;61
327;0;0.0;0.0;13;1071840;2059404;91;26;19;60;71;64;68
328;0;0.0;0.0;13;1071840;2059404;92;30;19;79;75;76;74
329;0;0.0;0.0;13;1071840;2059404;91;28;19;73;76;69;73
330;0;0.0;0.0;13;1071840;2059404;91;28;19;65;75;69;72
331;0;0.0;0.0;13;1071840;2059404;91;24;19;56;67;65;61
332;0;0.0;0.0;13;1071840;2059404;91;24;19;64;69;71;68
333;0;0.0;0.0;13;1071840;2059404;91;25;19;53;60;68;57
334;0;0.0;0.0;13;1071840;2059404;91;23;19;53;53;53;54
335;0;0.0;0.0;13;1071840;2059404;91;27;19;62;67;66;66
336;0;0.0;0.0;13;1071840;2059404;91;21;19;55;55;51;55
337;0;0.0;0.0;13;1071840;2059404;91;22;19;57;58;53;57
338;0;0.0;0.0;13;1071840;2059404;92;23;19;57;73;62;67
339;0;0.0;0.0;13;1071840;2059404;92;23;19;56;62;59;67
340;0;0.0;0.0;13;1071840;2059404;91;24;19;58;59;59;59
341;0;0.0;0.0;13;1071840;2059404;91;25;19;54;62;61;61
342;0;0.0;0.0;13;1071840;2059404;91;24;19;56;59;57;66
